ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0087,2.0688,9.523,0.0046,2.0987,9.5794,0.049,0.0143,0.0617,-0.0333,0.0445,0.0031,228,-23.52,-21.57,-8.14,129.49,-12.36,-0.03,2,37.077,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,15,2018-08-07 16:59:45:228
-0.6563,1.1225,9.4266,-0.6766,1.2542,9.7026,0.0049,-0.1107,-0.1708,-0.0738,0.0418,0.0099,284,-21.46,-21.37,-11.82,131.75,-7.61,3.85,2,38.277,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,515,2018-08-07 16:59:45:728
-0.6378,1.1351,9.435,-0.6245,1.1955,9.7134,-0.0339,-0.0622,-0.1327,0.016,0.0024,0.0195,320,-22.67,-22.3,-10.91,131.15,-7,3.68,2,35.972,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,1015,2018-08-07 16:59:46:228
-0.6665,0.9322,9.3087,-0.5301,0.9909,9.742,-0.1432,-0.0933,0.691,-0.0056,0.115,0.0164,368,-23.27,-22.5,-10.61,131.58,-5.8,3.11,2,37.744,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,1515,2018-08-07 16:59:46:728
-1.7487,0.6796,8.8197,-0.7627,1.3017,9.6899,-0.7067,-0.3673,-1.0202,0.6169,0.2453,0.1436,416,-22.4,-23.73,-7.79,136,-5.5,3.62,2,39.119,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,2015,2018-08-07 16:59:47:228
-0.8987,1.3997,9.6654,-1.2699,1.2553,9.6427,0.4766,0.1608,0.1557,0.0549,0.2385,-0.1964,400,-22.05,-21.62,-10.28,132.24,-7.24,6.64,2,37.895,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,2515,2018-08-07 16:59:47:728
-0.9221,1.863,9.5325,-0.3242,1.4504,9.6934,-0.2768,0.5197,-0.051,0.0748,-0.2378,-0.2767,320,-18.25,-23.5,-9.57,139.37,-8.51,1.92,2,49.021,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,3015,2018-08-07 16:59:48:228
-0.3971,1.4924,10.0395,-0.2831,1.4993,9.6872,-0.0587,-0.0204,0.2634,-0.1413,0.1641,0.0954,312,-19.44,-23.73,-9.28,139.3,-9.28,1.16,2,45.121,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,3515,2018-08-07 16:59:48:728
-0.7575,1.3542,9.6744,-0.6754,1.457,9.6743,0.1005,-0.0915,-0.1531,0.0219,0.0253,0.0535,332,-20.03,-23.2,-10.84,135.82,-8.54,3.99,2,47.507,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,4015,2018-08-07 16:59:49:228
-1.2507,1.1746,9.1477,-0.7478,1.3885,9.679,-0.1827,0.0032,0.0618,-0.2971,0.2334,0.208,356,-20.92,-23.22,-11.48,134.55,-8.14,4.42,2,52.598,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,4515,2018-08-07 16:59:49:728
-1.5703,0.2062,9.2632,-1.4815,0.4524,9.6835,-0.0929,-0.2505,-0.3877,-0.0987,0.0633,0.061,432,-23.54,-21.26,-12.79,128.61,-2.97,8.48,2,42.381,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,5015,2018-08-07 16:59:50:228
-1.2495,-0.1099,9.6535,-0.9335,0.0307,9.7621,0.1159,-0.0657,0.3959,-0.0214,0.0708,-0.6682,436,-22.91,-20.26,-11.54,129.72,-0.18,5.46,2,45.499,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,5515,2018-08-07 16:59:50:728
-1.2662,-0.1757,9.6702,-0.9646,-0.1538,9.7579,-0.2739,0.0331,-0.0839,-0.0822,0.058,-0.2307,400,-20.06,-24.04,-11.15,138.98,0.54,5.43,2,50.733,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,6015,2018-08-07 16:59:51:228
-0.9646,-0.3762,9.8085,-0.9508,-0.2434,9.7574,0.0016,-0.0801,0.0271,0.0111,0.0063,-0.0352,404,-17.37,-23.21,-12.34,142.12,1.42,5.57,2,46.769,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,6515,2018-08-07 16:59:51:728
-2.4651,0.8891,6.3489,-1.9967,1.3816,9.5013,0.6048,-0.2111,-2.3518,0.7267,0.6623,-0.3557,360,-15.1,-27.29,-8.54,148.17,-5.86,9.4,2,45.725,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,7015,2018-08-07 16:59:52:228
-0.2708,0.2157,10.319,-0.8263,-0.6697,9.7488,0.4064,0.8803,0.5342,-0.2693,-0.0479,0.3589,400,-19.12,-21.69,-14.55,138.3,3.19,4.97,2,52.655,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,7515,2018-08-07 16:59:52:728
-2.3346,-2.3149,9.6337,-2.5348,-1.3615,9.375,0.5227,-0.7551,-0.2498,-0.1123,0.4899,0.1556,268,-18.41,-16.92,-20.45,130.45,7.66,13.41,2,52.789,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,8015,2018-08-07 16:59:53:228
-2.6585,-1.6607,9.3979,-3.1155,-1.7192,9.1383,0.2359,0.1148,0.2552,0.0274,-0.0944,0.2291,108,277.43,-27.15,-78.05,256.89,10.1,18.83,2,44.566,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,8515,2018-08-07 16:59:53:728
-3.0619,-2.1737,9.3314,-3.1919,-2.1813,9.0124,0.1044,0.0872,0.069,-0.2663,0.0315,-0.0004,92,1170.6,-38.32,-737.72,253.03,12,19.34,2,42.304,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,9015,2018-08-07 16:59:54:228
-3.2253,-2.7758,9.0429,-3.3718,-2.7721,8.7816,0.0429,0.0791,0.0973,-0.1569,-0.1263,0.1295,80,1847.7,-236.17,-196.76,254.32,16.09,21.27,2,36.562,12.925628,77.68656,0,2909.56913139105,0,78.49677,0,0 / 27,9515,2018-08-07 16:59:54:728
